ID,Event Name,Event location,"Date (Month Day, Year ""January 17, 2021"")",Submission deadline,Notification deadline,Notes:,Notes,"This appears to be a call to a journal, not to a conference",Notes ,Date
57,The 2019 International Conference on Computational Science and Computational Intelligence (CSCI),"Las Vegas, USA",2019-12-05 00:00:00,2019-10-06 00:00:00,2019-10-18 00:00:00,,,,,
58,"The International Conference on Cyber Security, Cyber Warfare and Digital Forensic (CyberSec2012)","Kuala Lumpur, Malaysia",2012-06-26 00:00:00,2012-04-30 00:00:00,2012-05-15 00:00:00,,,,,
59,The Second International Conference on E-Technologies and Business on the Web (EBW2014),"Kuala Lumpur, Malaysia",2014-03-18 00:00:00,2014-02-18 00:00:00,2014-03-04 00:00:00,,,,,
100,"The 2015 International Conference on Foundations
                      of Computer Science","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
101,The 2015 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
102,The 2015 International Conference on Grid & Cloud Computing and Applications,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
103,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-06-14 00:00:00,,,,,
104,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-06-14 00:00:00,,,,,
105,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
106,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-06-14 00:00:00,,,,,
107,"The 2015 International Conference on Image Processing,  Computer Vision, and Pattern Recognition","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
108,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
109,The 2015 International Conference on Information and Knowledge Engineering,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
110,"The 2015 International Conference on Internet Computing and Big Data
","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
111,"The 2015 International Conference on Modeling, Simulation and Visualization Methods","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
112,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
113,"The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications
","Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
114,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-06-14 00:00:00,,,,,
115,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-04-15 00:00:00,2015-04-30 00:00:00,,,,,
116,The 2015 International Conference on Scientific Computing,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-06-14 00:00:00,,,,,
117,The 2015 International Conference on Security and Management,Las Vegas,2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
118,The 2015 International Conference on Software Engineering Research and Practice,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
119,The 2015 International Conference on Wireless Networks,"Monte Carlo Resort, Las Vegas",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-06-14 00:00:00,,,,,
480,The 2015 International Conference on Artificial Intelligence,"Las Vegas, USA",2015-07-27 00:00:00,2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,
481,The 2nd International Conference on Contemporary Education and Economic Development,"Beijing, China",2019-10-26 00:00:00,2019-10-20 00:00:00,,,,,,
482,"The Second International Conference on Electrical, Electronics, Computer Engineering and their Applications ","Manila, Philippines",2015-02-12 00:00:00,2015-01-25 00:00:00,2015-01-28 00:00:00,,,,,
483,"ICONS 2015, The Tenth International Conference on Systems","Barcelona, Spain",2015-04-19 00:00:00,2014-12-20 00:00:00,,,,,,
484,Computing Conference 2020,"London, UK",2020-07-16 00:00:00,2019-11-01 00:00:00,2019-11-15 00:00:00,,,,,
485,Computing Conference 2020,"London, UK",2020-07-16 00:00:00,2019-11-01 00:00:00,2019-11-15 00:00:00,,,,,
486,Scitus Academics,,,,,,Journal not event,,,
487,"2020 5th International Conference on Electrical Engineering, Mechanical Engineering and Automation","Hangzhou, China",2020-05-01 00:00:00,2020-02-10 00:00:00,,,,,,
488,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCES AND RESEARCH TECHNOLOGY,,,2019-08-11 00:00:00,2019-08-15 00:00:00,,Journal not event,,,
489,Global Journal of Engineering Science and Research Management,,2019-08-08 00:00:00,2019-08-05 00:00:00,2019-08-10 00:00:00,,Journal not event,,,
490,"National Conference on Future Dimensions in Science, Technology & Engineering","Bikaner, India",2019-12-07 00:00:00,2019-11-07 00:00:00,2019-11-12 00:00:00,,,,,
491,INTERNATIONAL JOURNAL OF CURRENT RESEARCH,,2019-05-01 00:00:00,,,,Journal not event,,,
492,The second Sustainable Solutions for Growth conference 2019,"Wroclaw, Poland",2019-09-16 00:00:00,,,,,,,
493,International Journal of Advanced Research in Engineering & Management,,,2019-09-20 00:00:00,,,Journal not event,,,
494,Journal of Multidisciplinary Engineering Science and Technology,,2019-05-25 00:00:00,2019-05-25 00:00:00,2019-05-31 00:00:00,,Journal not event,,,
495,Journal of Multidisciplinary Engineering Science and Technology,,2019-10-25 00:00:00,2019-10-25 00:00:00,2019-10-31 00:00:00,,,,,
496,Joint International Conference,"Bangkok, Thailand",2013-07-13 00:00:00,2013-06-06 00:00:00,,,,,,
497,Joint International Conference,"Zurich, Switzerland ",2013-10-12 00:00:00,2013-06-20 00:00:00,,,,,,
498,Joint International Conference,"Zurich, Switzerland ",2013-10-12 00:00:00,2013-08-12 00:00:00,,,correction of 497,,,
499,Joint International Conference,"Zurich, Switzerland ",2013-10-12 00:00:00,2013-08-12 00:00:00,,,duplicate of 498,,,
320,,,,2014-10-31 00:00:00,N/a,,,,Not a conference,
321,,N/a,,2014-10-31 00:00:00,N/a,,,,"Not a conference, Title after greeting",
322,"The International Conference on Information System Security, Robotics Modeling, and E-Commerce Transactions (ISSRMET2015) & The International Conference on Organizational Strategy, Business Models, and Risk Management (OSBMRM2015)","Dubai, UAE",2015-03-04 00:00:00,"Feburary 10, 2015",2015-02-25 00:00:00,,,,"""Last day for Registration"" and two conferences",
323,The 6th International Symposium on Engineering and Natural Sciences,"Bangkok, Thailand",2019-11-19 00:00:00,2019-07-25 00:00:00,2019-08-15 00:00:00,,,,,
324,"8th Annual International Conference on Computer Games, Multimedia and Allied Technology (CGAT 2015)",Not Listed,2015-04-13 00:00:00,2014-12-12 00:00:00,2015-03-13 00:00:00,,,,"Different date format, registration deadline not notification",
325,"8th Annual International Conference on Computer Games, Multimedia and Allied Technology (CGAT 2015)",Not Listed,2015-04-13 00:00:00,2015-01-30 00:00:00,2015-03-13 00:00:00,,,,"Different date format, registration deadline not notification",
326,"The International Conference on Digital Information, Networking, and Wireless Communications (DINWC2014) & International Conference on Digital Security and Forensics (DigitalSec2014)","Ostrava, Czech Republic",2014-06-24 00:00:00,2014-05-04 00:00:00,2014-06-04 00:00:00,,,,,
327,The Second International Conference on Digital Enterprise and Information Systems (DEIS 2013),"Kuala Lumpur, Malaysia",2013-03-04 00:00:00,2013-01-03 00:00:00,N/a,,,,"Only ""deadline"" and implied submission",
328,The Second International Conference on Digital Enterprise and Information Systems (DEIS 2013),"Kuala Lumpur, Malaysia",2013-03-04 00:00:00,2013-01-03 00:00:00,N/a,,,,"Only ""deadline"" and implied submission",
329,The International Conference on Computing Technology and Information Management (ICCTIM2014),"Dubai, UAE",2014-04-09 00:00:00,2014-03-10 00:00:00,2014-03-20 00:00:00,,,,,
330,"The First International Conference on Green Computing, Technology and Innovation (ICGCTI2013)","Kuala Lumpur, Malaysia",2013-03-04 00:00:00,2013-02-03 00:00:00,"Februray 13, 2013",,,,Doesn't explictly say notification date.,
331,2019 Tenth International Green and Sustainable Computing Conference (IGSC),"Alexandria, Virginia",2019-10-21 00:00:00,N/a,N/a,,,,No ,
332,Ireland International Conference on Education (IICE-2014),"Dublin, Ireland",2014-10-27 00:00:00,2014-09-11 00:00:00,N/a,,,,Does not say year in the conference dates at the top. No notification date. Multiple registration dates,
333,"The First International Conference on Green Computing, Technology and Innovation (ICGCTI 2013)","Kuala Lumpur, Malaysia",,2013-01-03 00:00:00,2013-01-25 00:00:00,,,,,
334,Canada International Conference on Education (CICE-2014),"Nova Scotia, Canada",2014-06-16 00:00:00,2014-04-30 00:00:00,2014-03-30 00:00:00,,,,,
335,Ireland International Conference on Education (IICE-2015),"Dublin, Ireland",2015-04-20 00:00:00,2015-01-30 00:00:00,2015-02-15 00:00:00,,,,Multiple submission and notification dates!!,
336,World Congress on Education (WCE-2014)!,"London, United Kingdom",2014-11-10 00:00:00,2014-08-31 00:00:00,2014-09-15 00:00:00,,,,,
337,World Congress on Education (WCE-2014),"Nelspruit, Pretoria, South Africa",2014-09-15 00:00:00,2014-06-01 00:00:00,2014-06-15 00:00:00,,,,,
338,,,,,,,,,List of Conferences,
339,9th INTERNATIONAL CONFERENCE ON COMMUNICATION AND SIGNAL PROCESSING ,"Melmaruvathur, India",2020-04-09 00:00:00,2019-09-09 00:00:00,,,,,"None listed, but some registration dates",
420,International Journal of Emerging Technology & Advanced Engineering,,,2019-07-27 00:00:00,,,,,,
421,International Journal of Emerging Technology & Advanced Engineering,,,2019-08-05 00:00:00,,,,,,
422,IJRITCC,,,2015-05-01 00:00:00,,,,,,
423,Annals of Heart,,,2019-10-20 00:00:00,,,,,,
424,JMEST,,2019-06-30 00:00:00,2019-06-25 00:00:00,,,,,,
425,JMEST,,2019-07-31 00:00:00,2019-07-25 00:00:00,,,,,,
426,JMEST,,2019-08-31 00:00:00,2019-08-25 00:00:00,,,,,,
427,International Journal on Recent and Innovation Trends in Computing and Communication,,,2019-08-31 00:00:00,,,,,,
428,International Journal of Current Research,,2019-09-01 00:00:00,,,,,,,
429,HBRP Publication,,2019-12-01 00:00:00,2019-09-30 00:00:00,,,,,,
430,Patterns,,,,,,,,,
431,The Second International Conference on e-Technologies and Networks for Development,"Kuala Lumpur, Malaysia",2013-03-04 00:00:00,2012-12-15 00:00:00,2013-01-01 00:00:00,,,,,
432,The Second World Congress on Computing and Information Technology,"Kuala Lumpur, Malaysia",2014-03-18 00:00:00,2014-02-18 00:00:00,2014-03-04 00:00:00,,,,,
433,The International Conference on Computing Technology and Information Management,"Dubai, UAE",2014-04-09 00:00:00,2014-03-10 00:00:00,2014-03-20 00:00:00,,,,,
434,"The International Conference on Digital Information Processing, Data Mining, and Wireless Communications","Dubai, UAE",2015-01-28 00:00:00,2015-01-12 00:00:00,,,,,,
435,The Fourth International Conference on Digital Information and Communication Technology and its Applications,"Bangkok, Thailand",2014-05-06 00:00:00,2014-04-06 00:00:00,2014-04-15 00:00:00,,,,,
436,"The Second International Conference on Cyber Security, Cyber Peacefare and Digital Forensic","Kuala Lumpur, Malaysia",2013-03-04 00:00:00,2013-02-03 00:00:00,,,,,,
437,SAM'15,"Las Vegas, USA",2015-07-27 00:00:00,2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,
438,The Global Technology Management Conference,"Minnesota, USA",2015-07-15 00:00:00,2015-06-25 00:00:00,,,,,,
439,"The International Conference on Digital Information Processing, Data Mining, and Wireless Communications",Dubai,2015-01-28 00:00:00,2015-01-08 00:00:00,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
280,The 2013 International Conference on Wireless Networks,"Las Vegas, USA",,2013-03-18 00:00:00,2013-04-18 00:00:00,,,,,2013-07-22
281,"The 2013 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA",,2013-04-20 00:00:00,2013-05-11 00:00:00,,,,,2013-07-22
282,"The 2013 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA",,2013-04-06 00:00:00,2013-04-27 00:00:00,,,,,2013-07-22
283,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA",,2013-04-06 00:00:00,2013-04-27 00:00:00,,,,,2013-07-22
284,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA",,2013-04-06 00:00:00,2013-04-27 00:00:00,,,,,2013-07-22
285,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA",,2013-03-18 00:00:00,2013-04-18 00:00:00,,,,,2013-07-22
286,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA",,2015-04-15 00:00:00,2015-04-30 00:00:00,,,,,2015-07-27
287,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
288,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
289,The 2015 International Conference on Advances in Big Data Analytics,"Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
290,The 2015 International Conference on Bioinformatics and Computational Biology,"Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
291,11th International Conference on Data Mining,"Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
292,"The 2013 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA",,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,2013-07-22
293,"The 2013 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA",,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,2013-07-22
294,The 2013 International Conference on Parallel and Distributed Processing Techniques and Applications,"Las Vegas, USA",,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,2013-07-22
295,"The 2013 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA",,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,2013-07-22
296,The 2013 International Conference on Artificial Intelligence,"Las Vegas, USA",,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,2013-07-22
297,The 2013 International Conference on Bioinformatics and Computational Biology,"Las Vegas, USA",,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,2013-07-22
298,The 2013 International Conference on Scientific Computing,"Las Vegas, USA",,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,2013-07-22
299,The 2013 International Conference on Grid & Cloud Computing and Applications,"Las Vegas, USA",,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,2013-07-22
140,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition IPCV'15","Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
141,The 2015 International Conference on Software Engineering Research and Practice SERP'15,"Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
142,The 2015 International Conference on Grid & Cloud Computing and Applications,"Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
143,The 2015 International Conference on Software Engineering Research and Practice,"Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
144,The 2015 International Congress on Scientific Computing,"Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
145,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing WORLDCOMP'15","Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
146,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing WORLDCOMP'15","Las Vegas, USA",,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,2015-07-27
147,The 2015 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA",,2015-05-31 00:00:00,2020-06-14 00:00:00,,,,,2015-07-27
148,The 2015 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA",,2015-05-31 00:00:00,2020-06-14 00:00:00,,,,,2015-07-27
149,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition IPCV'15","Las Vegas, USA",,2015-05-31 00:00:00,2020-06-14 00:00:00,,,,,2015-07-27
150,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Las Vegas, USA",,2015-05-31 00:00:00,2020-06-14 00:00:00,,,,,2015-07-27
151,The 2015 International Conference on Software Engineering Research and Practice SERP'15,"Las Vegas, USA",,2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,2015-07-27
152,The 2015 International Conference on Artificial Intelligence ICAI'15,"Las Vegas, USA",,2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,2015-07-27
153,The 2015 Conference on Artificial Intelligence ICAI'15,"Las Vegas, USA",,2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,2015-07-27
154,The 2015 International Conference on Internet Computing and Big Data (ICOMP'15),"Las Vegas, USA",,2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,2015-07-27
155,"The 2015 International Conference on Modeling, Simulation and Visualizsation Methods MSV'15","Las Vegas, USA",,2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,2015-07-27
156,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing WORLDCOMP'15","Las Vegas, USA",,2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,2015-07-27
157,Annual Conference on Engineering and Information Technology,"Osaka, Japan",,2019-12-05 00:00:00,,,,,,2020-03-24
158,The 2015 International Conference on Grid & Cloud Computing and Applications (GCS'15),"Las Vegas, USA",,2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,2015-07-27
159,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition IPCV'15","Las Vegas, USA",,2015-04-15 00:00:00,2015-04-30 00:00:00,,,,,2015-07-27
300,The 2013 International Conference on Security and Management,"Las Vegas, Nevada",2013-07-22 00:00:00,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,
301,MSV'13,"Las Vegas, Nevada",2013-07-22 00:00:00,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,
302,IKE'13,"Las Vegas, Nevada",2013-07-22 00:00:00,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,
303,The 2013 International Conference on Internet Computing and BIG DATA,"Las Vegas, Nevada",2013-07-22 00:00:00,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,
304,FECS'13,"Las Vegas, Nevada",2013-07-22 00:00:00,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,
305,SERP'13,"Las Vegas, Nevada",2013-07-22 00:00:00,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,
306,ICWN'13,"Las Vegas, Nevada",2013-07-22 00:00:00,2013-06-02 00:00:00,2013-06-12 00:00:00,,,,,
307,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, Nevada",2013-07-22 00:00:00,,,,Called registration deadline: June 17,,,
308,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, Nevada",2013-07-22 00:00:00,,,,Called registration deadline: June 30,,,
309,"The 2014 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, Nevada",2014-07-21 00:00:00,,,,Called registration deadline: July 18,,,
310,International Journal of Research science and Management,,2019-10-28 00:00:00,2019-10-15 00:00:00,,,"Publication date October 28, 2019",,,
311,"2nd International Conference on Electrical, Communication and Computer Engineering","Istanbul, Turkey",2020-04-14 00:00:00,"Janurary 15, 2020","Feburary 15, 2020",,,,,
312,International Journal of Education and Social Science,,"Novemeber 25, 2014",2014-11-02 00:00:00,,,"Publication date Novemeber 25, 2014. Notification period 5-7 days after submission",,,
313,8th International Conference on Advanced Technologies,Sarajevo Bosnia and Herzegovina,2019-08-26 00:00:00,2019-06-30 00:00:00,,,Notification period is within 10 days after submission,,,
314,,,,,,,Just a list of upcoming conferences,,,
315,,,,,,,Just a list of upcoming conferences,,,
316,"The International Conference on Technological Advances in Electrical, Electronics and Computer Engineering
","Konya, Turkey",2013-05-09 00:00:00,2013-03-20 00:00:00,2013-04-20 00:00:00,,April 20th or before,,,
317,"The International Conference on Technological Advances in Electrical, Electronics and Computer Engineering
","Konya, Turkey",2013-05-09 00:00:00,2013-03-20 00:00:00,2013-04-20 00:00:00,,April 20th or before,,,
318,Journal of Engineering and Architecture,,2019-12-31 00:00:00,2019-10-31 00:00:00,,,"publication date is December 31, 2019
",,,
319,Media and Communication,,July/September 2020,2020-03-15 00:00:00,,,"Submission of Abstracts: 1-15 November 2019
Submission of Full Papers: 15-30 March 2020
Publication of the Issue: July/September 2020",,,
160,"The 2015 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA",2015-07-27 00:00:00,2015-05-31 00:00:00,2015-06-14 00:00:00,Can get most info from email header,,,,
161,The 2015 Int'l Conference on Artificial Intelligence ,"Las Vegas, USA",2015-07-27 00:00:00,2015-04-15 00:00:00,2015-04-30 00:00:00,,,,,
162,The 2015 Int'l Conference on Security & Management,"Las Vegas, USA",2015-07-27 00:00:00,2015-04-15 00:00:00,2015-04-30 00:00:00,,,,,
163,The 2015 Int'l Conference on Software Engineering Research & Practice,"Las Vegas, USA",2015-07-27 00:00:00,2015-04-15 00:00:00,2015-04-30 00:00:00,,,,,
164,The 2015 Int'l Conference on Wireless Networks,"Las Vegas, USA",2015-07-27 00:00:00,2015-04-15 00:00:00,2015-04-30 00:00:00,,,,,
165,The 2015 International Conf on Advances in Big Data Analytics ,"Las Vegas, USA",2015-07-27 00:00:00,2015-04-15 00:00:00,2015-04-30 00:00:00,,,,,
166,"The 2015 World Congress in CS, CE, & Applied Computing","Las Vegas, USA",2015-07-27 00:00:00,2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,
167,The 2nd World Symposium on Communication Engineering ,"Nagoya, Japan",2019-12-20 00:00:00,2019-07-15 00:00:00,2019-08-15 00:00:00,"Breaks cycle of helpful heading, need better pattern matches",,,,
168,The Second World Congress on Computing and Information Technology,"Kuala Lumpur, Malaysia",2014-03-18 00:00:00,2014-02-18 00:00:00,2014-03-04 00:00:00,,,,,
169,The Second World Congress on Computing and Information Technology,"Kuala Lumpur, Malaysia",2014-03-18 00:00:00,2014-02-18 00:00:00,2014-03-04 00:00:00,"Same detail as above, but way worse to parse through",,,,
170,International Journal of Engineering Research and Development ,,,2014-10-15 00:00:00,,"Worst one yet, yikes!",,,,
171,International Journal of Latest Engineering and Management Research ,,,2019-09-30 00:00:00,,"Never mind, this one is worse, lol",,,,
172,,,,,,Lists upcoming conferences,,,,
173,,,,,,Lists upcoming conferences,,,,
174,,,,,,Lists upcoming conferences,,,,
175,The Second International Conference on e-Technologies and Networks for Development ,"Kuala Lumpur, Malaysia",2013-03-04 00:00:00,2013-02-03 00:00:00,,,,,,
176,"International Conference on Social and Education Sciences (IConSES) 2019 and International Conference on Engineering, Science and Technology (IConEST) 2019","Denver, CO, USA",2019-10-07 00:00:00,2019-08-01 00:00:00,,,,,,
177,The 2014 International Conference on Scientific Computing,"Las Vegas, USA",2014-07-21 00:00:00,2014-04-19 00:00:00,2014-05-10 00:00:00,,,,,
178,The 2014 International Conference on Scientific Computing,"Las Vegas, USA",2014-07-21 00:00:00,2014-04-19 00:00:00,2014-05-10 00:00:00,Copy pasta of above,,,,
179,The 2014 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA",2014-07-21 00:00:00,2014-04-19 00:00:00,2014-05-10 00:00:00,Different but also the same...,,,,
0,The International Conference on Computing,"Dubai, UAE ",2014-04-09 00:00:00,"March 20, 2014","March 25, 2014",,,,,
1,"The First International Conference on Green Computing, Technology and Innovation",Malaysia,2013-03-04 00:00:00,"December 15, 2012","January 1, 2013",,,,,
2,2016 IEEE World Congress on Computational Intelligence,"Vancouver, Canada",2016-07-25 00:00:00,"January 15, 2016","March 15, 2016",,,,,
3,Asia-Pacific Conference on Engineering and Applied Science,"Phuket, Thailand",2019-12-26 00:00:00,,,,,,,
4,Global Engineering & Applied Science Conference,Tokyo,,,,,,,,
5,2019 IEEE International Symposium on Technology and Society,Boston,2019-11-15 00:00:00,"August 16, 2019","September 16, 2019",,,,,
6,Asia Conference on Engineering and Information International Symposium on Fundamental and Applied Sciences,"Taipei, Taiwan",2020-06-01 00:00:00,"February 5, 2020",,,,,,
7,2020 AI Conference,"Taipei, Taiwan",2020-06-01 00:00:00,"February 5, 2020","February 19, 2020",,,,,
8,16th Annual International Conference on Information Technology & Computer Science,"Athens, Greece",2020-05-18 00:00:00,"October 14, 2019",,,,,,
9,16th Annual International Conference on Information Technology & Computer Science,"Athens, Greece",2020-05-18 00:00:00,"October 14, 2019",,,,,,
10,10th International Congress on Engineering and Information,"Fukuoka, Japan",2020-05-06 00:00:00,"January 15, 2020",,,,,,
11,2020 Green Tech Conference/Region 5 Business Meeting and Student Competitions ,,2020-04-01 00:00:00,,,,,,,
12,9th International Congress on Natural Science and Engineering,"Nagoya, Japan",2020-01-20 00:00:00,"October 23, 2019","October 15, 2019",,,,,
13,7th Annual Conference on Engineering and Information Technology,"Osaka, Japan",2020-03-24 00:00:00,"December 15, 2019","December 24, 2019",,,,,
14,Fifth International Congress on Information and Communication Technology,"London, United Kingdom",2020-02-20 00:00:00,"January 10, 2020",,,,,,
15,2014 International Conference on Advanced Management Science and Information Engineering,Hong Kong,2014-12-25 00:00:00,"October 22, 2014",,,,,,
16,AAAI-15 AI Open House,"Austin, Texas",2015-01-26 00:00:00,"November 9, 2014","November 10, 2014",,,,,
17,ACM Computing Surveys ,,,,,,,,,
18,ACM Transactions on Parallel Computing,,,,,,,,,
19,ACM Transactions on Quantum Computing,,,,,,,,,
460,The Second International Conference on Digital Information and Communication Technology and its Applications (DICTAP2012),"University of the Thai Chamber of Commerce(UTCC), Bangkok Thailand","May 16-18, 2012",2012-03-17 00:00:00,2012-04-05 00:00:00,,,,,
461,"The Third International Conference on Digital Information, Networking, and Wireless Communications (DINWC2015)","Moscow, Russia","Feb. 3-5, 2015",2015-01-06 00:00:00,2015-01-27 00:00:00,,,,,
462,International Conference on Digital Security and Forensics (DigitalSec2014),"Ostrava, Czech Republic","June 24- 26, 2014",2014-05-25 00:00:00,2014-06-05 00:00:00,,,,,
